address;neighborhood;price;days_in_market;expenses;util;n_rooms;n_bathrooms;parking
SHCES 1105,  Cruzeiro Novo, Cruzeiro;Cruzeiro Novo;1900.0;11.0;270.0;78.0;3.0;2.0;
Quadra CNB 10 8,  Taguatinga Norte, Taguatinga;Taguatinga Norte;750.0;0.0;70.0;50.0;;1.0;
Taguatinga Sul, Taguatinga;Taguatinga Sul;1170.0;11.0;249.0;39.0;;1.0;1.0
Quadra QS 1 Rua 212 212,  Areal, Águas Claras;Areal;1440.0;;;3651.0;;;
Sudoeste, Brasília;Sudoeste;1200.0;8.0;394.0;33.0;;1.0;
QD Qe 38 Conjunto A,  Centro, Brasília;Centro;600.0;0.0;;47.0;1.0;1.0;1.0
QS 05 RUA 120 LOCAÇÃO APTO 1 QTO,  Areal, Águas Claras;Areal;900.0;0.0;375.0;37.0;1.0;1.0;1.0
Copaiba 1,  Aguas Norte, Águas Claras;Aguas Norte;1344.0;;;3235.0;;;
Quadra SCLRN 714 Bloco H 0,  Asa Norte, Brasília;Asa Norte;1200.0;351.0;;45.0;;1.0;
SQS 104 BLOCO C - Reformado 202,  Asa Sul, Brasília;Asa Sul;2700.0;1.0;740.0;85.0;2.0;1.0;
Asa Norte, Brasília;Asa Norte;612.0;365.0;304.0;35.0;;1.0;
Asa Norte, Brasília;Asa Norte;1450.0;85.0;1122.0;35.0;1.0;;
Via W3 Sul 0,  Asa Sul, Brasília;Asa Sul;4500.0;365.0;;110.0;;1.0;
Quadra QE 40 Conjunto A 0,  Guara II, Guará;Guara II;3000.0;270.0;;425.0;;1.0;
SMPW Quadra 15,  Park Way, Brasília;Park Way;17500.0;365.0;1200.0;1200.0;5.0;9.0;4.0
Asa Sul, Brasília;Asa Sul;15700.0;0.0;3665.0;157.0;;5.0;
Setor SHTN 0,  Asa Norte, Brasília;Asa Norte;2300.0;73.0;900.0;48.0;1.0;1.0;1.0
QI 10 40/42 Próximo Feirão dos Goianos Setor Industrial de Taguatinga,  Setor Industrial, Taguatinga;Setor Industrial;25000.0;312.0;;1500.0;;5.0;8.0
QI 05 CONJUNTO I CASA 134 - FUNDOS ,  Guara I, Guará;Guara I;1300.0;0.0;;95.0;2.0;1.0;1.0
Asa Norte, Brasília;Asa Norte;140000.0;13.0;;2289.0;;;70.0
Taguatinga Sul, Taguatinga;Taguatinga Sul;1840.0;11.0;289.0;46.0;;1.0;1.0
SHN QUADRA 5 BLOCO D ED. ATHOS BULCÃO ASA NORTE,  Asa Norte, Brasília;Asa Norte;3000.0;135.0;;28.0;1.0;1.0;
Trecho SCES Trecho 1 12,  Asa Sul, Brasília;Asa Sul;2300.0;0.0;900.0;48.0;1.0;1.0;1.0
Quadra QS 1 Rua 212 212,  Areal, Águas Claras;Areal;1440.0;;;3651.0;;;
QS 05 RUA 310 LOTE 02,  Areal, Águas Claras;Areal;1500.0;11.0;958.0;110.0;3.0;3.0;2.0
Sudoeste, Brasília;Sudoeste;5800.0;11.0;1300.0;140.0;;2.0;
Asa Norte, Brasília;Asa Norte;1450.0;85.0;1122.0;35.0;1.0;;
Copaiba 1,  Aguas Norte, Águas Claras;Aguas Norte;1344.0;;;3235.0;;;
Setor Pólo de Desenvolvimento Juscelino Kubitschek Trecho I Conjunto 2 0,  Santa Maria, Santa Maria;Santa Maria;31000.0;0.0;;3000.0;;;
QUADRA CA 11,  Centro, Brasília;Centro;800.0;365.0;;49.0;;;1.0
Areal, Águas Claras;Areal;1100.0;0.0;674.0;42.0;;1.0;1.0
Zona Industrial, Guará;Zona Industrial;750.0;11.0;332.0;39.0;;1.0;
Lago Norte, Brasília;Lago Norte;1300.0;11.0;239.0;35.0;1.0;1.0;1.0
SCLN 314 BLOCO E ,  Asa Norte, Brasília;Asa Norte;649.0;242.0;299.0;1.0;1.0;1.0;
Quadra SHDB QL 32,  Lago Sul, Brasília;Lago Sul;16000.0;14.0;400.0;900.0;5.0;;6.0
Quadra Qna 8 24,  Taguatinga Norte, Taguatinga;Taguatinga Norte;3500.0;0.0;;280.0;3.0;1.0;7.0
Lago Sul, Brasília;Lago Sul;40000.0;86.0;;586.0;8.0;0.0;15.0
Asa Sul, Brasília;Asa Sul;3500.0;27.0;980.0;138.0;3.0;3.0;
Sudoeste, Brasília;Sudoeste;800.0;0.0;385.0;27.0;1.0;1.0;1.0
QS 05 RUA 120 LOCAÇÃO APTO 1 QTO,  Areal, Águas Claras;Areal;900.0;0.0;375.0;37.0;1.0;1.0;1.0
Saus Quadra 4 ,  Asa Sul, Brasília;Asa Sul;900.0;0.0;389.0;24.0;;;
Asa Sul, Brasília;Asa Sul;2300.0;21.0;472.0;58.0;2.0;2.0;
ÁREA ESPECIAL SETOR C NORTE,  Centro, Brasília;Centro;2800.0;0.0;;28.0;;0.0;
CENTRO CLINICO SUL,  Asa Sul, Brasília;Asa Sul;200.0;11.0;165.0;12.0;;0.0;1.0
Guara II, Guará;Guara II;2700.0;11.0;350.0;220.0;;2.0;
RUA 25 SUL LOTE 30 PARK STYLE,  Aguas Sul, Águas Claras;Aguas Sul;1200.0;11.0;287.0;31.0;0.0;1.0;1.0
SQSW 105 BLOCO F SARA KUBITSCHEK,  Sudoeste, Brasília;Sudoeste;3300.0;11.0;850.0;90.0;2.0;2.0;1.0
Setor Shtn Trecho 1 0,  Asa Norte, Brasília;Asa Norte;2600.0;36.0;;38.0;1.0;1.0;1.0
CJ Sha Conjunto 5 ,  Arniqueiras, Águas Claras;Arniqueiras;2500.0;0.0;;404.0;5.0;3.0;5.0
Quadra SHIS QL 12,  Lago Sul, Brasília;Lago Sul;55000.0;365.0;;1600.0;6.0;;10.0
QUADRA SQSW 303,  Sudoeste, Brasília;Sudoeste;3000.0;0.0;620.0;79.0;1.0;2.0;1.0
SHIS QL 06 CONJUNTO 02,  Lago Sul, Brasília;Lago Sul;12000.0;50.0;;1000.0;5.0;7.0;4.0
Asa Norte, Brasília;Asa Norte;1400.0;11.0;139.0;24.0;;1.0;
Asa Norte, Brasília;Asa Norte;60000.0;0.0;;;;6.0;30.0
Avenida Jequitibá 885,  Aguas Sul, Águas Claras;Aguas Sul;1350.0;0.0;290.0;42.0;1.0;1.0;1.0
CLN 207 BLOCO C,  Asa Norte, Brasília;Asa Norte;1290.0;242.0;249.0;24.0;;0.0;
Sudoeste, Brasília;Sudoeste;950.0;11.0;341.0;27.0;1.0;1.0;2.0
Areal, Águas Claras;Areal;1500.0;11.0;598.0;60.0;2.0;2.0;1.0
Guara I, Guará;Guara I;1550.0;57.0;350.0;65.0;3.0;2.0;2.0
SQSW 101 BLOCO B,  Sudoeste, Brasília;Sudoeste;3800.0;0.0;1083.0;88.0;3.0;3.0;1.0
Cruzeiro Novo, Cruzeiro;Cruzeiro Novo;1900.0;17.0;370.0;65.0;2.0;1.0;
Lago Sul, Brasília;Lago Sul;13000.0;148.0;;359.0;2.0;;3.0
RUA 28,  Aguas Sul, Águas Claras;Aguas Sul;6900.0;31.0;1304.0;169.0;4.0;5.0;3.0
CLSW 304 BLOCO A,  Sudoeste, Brasília;Sudoeste;800.0;0.0;180.0;34.0;1.0;1.0;
SGAN 912 BLOCO B KIT 22 MASTER PLACE,  Asa Norte, Brasília;Asa Norte;800.0;25.0;301.0;30.0;1.0;1.0;1.0
SQSW 105 BLOCO F SARA KUBITSCHEK,  Sudoeste, Brasília;Sudoeste;3300.0;11.0;850.0;90.0;2.0;2.0;1.0
Rua Babaçu,  Aguas Sul, Águas Claras;Aguas Sul;5500.0;2.0;1379.0;189.0;4.0;5.0;3.0
SCLN 207 BLOCO C,  Asa Norte, Brasília;Asa Norte;490.0;129.0;249.0;44.0;;1.0;
Trecho SCES Trecho 4 1,  Asa Sul, Brasília;Asa Sul;2600.0;73.0;900.0;51.0;1.0;1.0;1.0
Setor Pólo de Desenvolvimento Juscelino Kubitschek Trecho I Conjunto 2 0,  Santa Maria, Santa Maria;Santa Maria;31000.0;0.0;;3000.0;;;
Quadra SMAS Trecho,  Setores Complementares, Brasília;Setores Complementares;2500.0;35.0;490.0;43.0;1.0;1.0;1.0
Rua 21,  Aguas Norte, Águas Claras;Aguas Norte;2200.0;4.0;755.0;98.0;3.0;3.0;2.0
RUA 25 SUL LOTE 30 PARK STYLE,  Aguas Sul, Águas Claras;Aguas Sul;1200.0;11.0;287.0;31.0;0.0;1.0;1.0
Trecho SCES Trecho 4 0,  Asa Sul, Brasília;Asa Sul;2500.0;0.0;900.0;48.0;1.0;1.0;1.0
Asa Norte, Brasília;Asa Norte;21098.0;5.0;6488.0;474.0;;;
Quadra Qc 7  E 0,  Jardins Mangueiral, São Sebastião;Jardins Mangueiral;1800.0;0.0;310.0;68.0;3.0;3.0;2.0
SHCSW SQ CHSW BL 3/4/5 TERREO,  Sudoeste, Brasília;Sudoeste;4900.0;242.0;1243.0;114.0;;0.0;1.0
Quadra SHIS QI 15 0,  Lago Sul, Brasília;Lago Sul;4800.0;21.0;;64.0;;;10.0
Sudoeste, Brasília;Sudoeste;2790.0;66.0;639.0;61.0;2.0;1.0;1.0
Asa Norte, Brasília;Asa Norte;1700.0;11.0;663.0;27.0;1.0;1.0;1.0
Quadra QMSW 6 0,  Sudoeste, Brasília;Sudoeste;1700.0;0.0;;40.0;1.0;1.0;
Taguatinga Sul, Taguatinga;Taguatinga Sul;1170.0;11.0;249.0;39.0;;1.0;1.0
Sudoeste, Brasília;Sudoeste;950.0;11.0;309.0;27.0;1.0;1.0;1.0
Asa Norte, Brasília;Asa Norte;52000.0;365.0;10110.0;809.0;;10.0;15.0
Asa Norte, Brasília;Asa Norte;970.0;29.0;100.0;31.0;1.0;1.0;
Rua Babaçu,  Aguas Sul, Águas Claras;Aguas Sul;5500.0;2.0;1379.0;189.0;4.0;5.0;3.0
SEPS 707/907 PRÉDIO NOVO - ANDAR 1.140 m²,  Asa Sul, Brasília;Asa Sul;80000.0;330.0;;1140.0;;0.0;
Trecho STRC Trecho 3 Conjunto D 1,  Zona Industrial, Guará;Zona Industrial;80000.0;142.0;;5100.0;;;
Aguas Sul, Águas Claras;Aguas Sul;1120.0;11.0;233.0;37.0;;1.0;1.0
Quadra QR 413 CONJUNTO 03,  Samambaia Norte, Samambaia;Samambaia Norte;410.0;0.0;;35.0;1.0;1.0;
QUADRA AOS 8 BLOCO B,  Octogonal, Brasília;Octogonal;3700.0;0.0;913.0;87.0;3.0;3.0;1.0
RUA 4,  Aguas Norte, Águas Claras;Aguas Norte;3000.0;45.0;980.0;161.0;3.0;4.0;2.0
Asa Norte, Brasília;Asa Norte;600.0;1.0;292.0;41.0;1.0;1.0;
SCLN 314 BLOCO E  ALUGUEL GRÁTIS 03 MESES,  Asa Norte, Brasília;Asa Norte;1490.0;242.0;284.0;29.0;;1.0;
QD SAUS Quadra 3 ,  Asa Sul, Brasília;Asa Sul;1200.0;11.0;533.0;30.0;;1.0;
Asa Norte, Brasília;Asa Norte;6500.0;7.0;;100.0;1.0;2.0;2.0
QNM 17 CENTER ONE,  Ceilandia Sul, Ceilândia;Ceilandia Sul;6000.0;11.0;1200.0;200.0;;0.0;
Quadra SCS Quadra 1 30,  Asa Sul, Brasília;Asa Sul;400.0;0.0;;25.0;;1.0;
Taguatinga Sul, Taguatinga;Taguatinga Sul;1170.0;11.0;246.0;39.0;;1.0;1.0
Setor De Industrias, Brasília;Setor De Industrias;3950.0;2.0;660.0;80.0;;2.0;1.0
RUA RUA 10 CHÁCARA 169,  Vicente Pires, Vicente Pires;Vicente Pires;900.0;0.0;;50.0;;;
Trecho SCES Trecho 4 1,  Asa Sul, Brasília;Asa Sul;2300.0;73.0;900.0;48.0;1.0;1.0;1.0
Setor SRTVS 0,  Asa Sul, Brasília;Asa Sul;800.0;0.0;313.0;30.0;;1.0;
Quadra Scs Quadra 4 Bloco A Lote 49 0,  Asa Sul, Brasília;Asa Sul;1000.0;0.0;;90.0;;2.0;
Taguatinga Sul, Taguatinga;Taguatinga Sul;1650.0;11.0;260.0;41.0;;1.0;1.0
Asa Norte, Brasília;Asa Norte;1700.0;11.0;663.0;27.0;1.0;1.0;1.0
SCS QD 2 BLOCO B,  Asa Sul, Brasília;Asa Sul;3400.0;365.0;1136.0;57.0;;1.0;
Asa Norte, Brasília;Asa Norte;2000.0;11.0;620.0;35.0;1.0;1.0;1.0
Samambaia Norte, Samambaia;Samambaia Norte;1500.0;0.0;;130.0;3.0;1.0;3.0
Asa Norte, Brasília;Asa Norte;1500.0;1.0;;43.0;;1.0;1.0
Trecho SCES Trecho 4 0,  Asa Sul, Brasília;Asa Sul;2500.0;0.0;900.0;48.0;1.0;1.0;1.0
Sudoeste, Brasília;Sudoeste;1200.0;8.0;394.0;33.0;;1.0;
SHLS QUADRA 716  CENTRO MEDICO DE BRASÍLIA,  Asa Sul, Brasília;Asa Sul;1000.0;11.0;1177.0;43.0;;1.0;
Asa Norte, Brasília;Asa Norte;3400.0;1.0;;44.0;1.0;1.0;1.0
Asa Norte, Brasília;Asa Norte;2100.0;74.0;470.0;69.0;2.0;1.0;
Asa Norte, Brasília;Asa Norte;5650.0;87.0;800.0;100.0;;2.0;
SGCVS LOTE 11, BLOCO A - 517 ,  Park Sul, Brasília;Park Sul;1100.0;365.0;302.0;27.0;1.0;1.0;1.0
SRTVN Q. 701 BL P SL  BSB RADIO CENTER SALA 2138,  Asa Norte, Brasília;Asa Norte;900.0;346.0;375.0;29.0;;1.0;
Sudoeste, Brasília;Sudoeste;750.0;0.0;253.0;30.0;1.0;1.0;
SMPW Quadra 15,  Park Way, Brasília;Park Way;17500.0;365.0;1200.0;1200.0;5.0;9.0;4.0
SHLS 716,  Asa Sul, Brasília;Asa Sul;1300.0;11.0;463.0;35.0;;1.0;
SETOR SRTVS  ED. MULTIEMPRESARIAL,  Asa Sul, Brasília;Asa Sul;4000.0;210.0;1476.0;90.0;;3.0;2.0
Rua 21,  Aguas Norte, Águas Claras;Aguas Norte;2200.0;4.0;755.0;98.0;3.0;3.0;2.0
RUA 4,  Aguas Norte, Águas Claras;Aguas Norte;2000.0;282.0;495.0;85.0;2.0;2.0;1.0
SQS 212,  Asa Sul, Brasília;Asa Sul;13000.0;1.0;1874.0;190.0;3.0;5.0;2.0
Quadra CLN 307 Bloco C 7,  Asa Norte, Brasília;Asa Norte;700.0;0.0;218.0;23.0;1.0;1.0;
RUA 25 SUL BLOCO B LT. 30 110,  Aguas Sul, Águas Claras;Aguas Sul;1000.0;134.0;565.0;37.0;;0.0;1.0
Quadra CRS 506 Bloco C 0,  Asa Sul, Brasília;Asa Sul;15000.0;119.0;;560.0;;;
Quadra CNB 10 8,  Taguatinga Norte, Taguatinga;Taguatinga Norte;750.0;0.0;70.0;50.0;;1.0;
Asa Norte, Brasília;Asa Norte;1300.0;11.0;418.0;28.0;1.0;1.0;1.0
QE 40 RUA 20,  Guara II, Guará;Guara II;730.0;65.0;60.0;30.0;1.0;;
Quadra SIA Quadra 3-C 27,  Zona Industrial, Guará;Zona Industrial;9000.0;16.0;;350.0;;1.0;
SMDB Conjunto 19,  Lago Sul, Brasília;Lago Sul;15000.0;72.0;2500.0;576.0;5.0;9.0;6.0
QD Sqnw 310 Bloco I ,  Noroeste, Brasília;Noroeste;11500.0;365.0;4000.0;550.0;0.0;6.0;4.0
Quadra Qnb 6 1,  Taguatinga Norte, Taguatinga;Taguatinga Norte;4000.0;0.0;;77.0;;;
